file,Column2,name,chinese_desc
1942w,Chinese Name,1942 - 空中大战 (Williams Electronics 授权),"《1942》是二战期间太平洋剧院的垂直滚动射击，目标是到达东京，摧毁整个日本舰队。

玩家驾驶一架被称为“超级王牌”的飞机（它的外观是洛克希德P-38闪电），必须击落敌机的波波，同时避免敌人的火力。“超级王牌”可以执行有限数量的滚动或“循环”来躲避敌机和射击。

在游戏中，红色敌机的波浪定期出现。如果玩家设法摧毁了红波，一个以“战俘”符号形式的加电将被丢弃，并可以被捡起来。加电将获得增加的火力（玩家的枪从两支增加到四支），一个智能炸弹，在收集到的瞬间摧毁屏幕上的所有敌机，两架僚机，在超级王牌两侧并增加火力，或者仅仅是额外的分数。

在每个阶段结束时，“超级王牌”降落在航空母舰上，根据玩家的表现获得加分。“1942”与其他游戏的不同之处在于，它的级别是按相反的顺序编号的，所以游戏从第32阶段开始，到第1阶段结束。"
1943,Chinese Name,1943 - 中途岛海战 (欧版),"这场比赛以二战的太平洋剧院为前提，位于中途岛环环路海岸外。目标是攻击轰炸了玩家美国航空母舰的日本航空舰队，追捕所有日本空海军，飞越16级游戏，前往日本战列舰大和号，摧毁她。11级包括空对海战斗（一艘巨大的战舰或一艘航空母舰作为末级老板）,5级包括与日本轰炸机中队和一架需要摧毁的母轰炸机的全空中战斗。
就像1942年一样，玩家驾驶P-38。使用两个按钮：一个用于常规攻击（使用几种武器），另一个用于执行1942年这样的循环的特殊行动，或者是破坏飞机的三种特殊攻击之一。与1942年不同的是，玩家只有一条生命，有一个可再填充的能量计。摧毁红色敌机的完整编队将导致加电，如健康提升或临时特殊武器，以取代默认的双枪。"
1943b,Chinese Name,"1943 - 中途岛海战 (盗版, 日版改版?)","这场比赛以二战的太平洋剧院为前提，位于中途岛环环路海岸外。目标是攻击轰炸了玩家美国航空母舰的日本航空舰队，追捕所有日本空海军，飞越16级游戏，前往日本战列舰大和号，摧毁她。11级包括空对海战斗（一艘巨大的战舰或一艘航空母舰作为末级老板）,5级包括与日本轰炸机中队和一架需要摧毁的母轰炸机的全空中战斗。
就像1942年一样，玩家驾驶P-38。使用两个按钮：一个用于常规攻击（使用几种武器），另一个用于执行1942年这样的循环的特殊行动，或者是破坏飞机的三种特殊攻击之一。与1942年不同的是，玩家只有一条生命，有一个可再填充的能量计。摧毁红色敌机的完整编队将导致加电，如健康提升或临时特殊武器，以取代默认的双枪。"
1943b2,Long Name,"1943 - 中途岛海战 (bootleg set 2, hack of Japan set)","这场比赛以二战的太平洋剧院为前提，位于中途岛环环路海岸外。目标是攻击轰炸了玩家美国航空母舰的日本航空舰队，追捕所有日本空海军，飞越16级游戏，前往日本战列舰大和号，摧毁她。11级包括空对海战斗（一艘巨大的战舰或一艘航空母舰作为末级老板）,5级包括与日本轰炸机中队和一架需要摧毁的母轰炸机的全空中战斗。
就像1942年一样，玩家驾驶P-38。使用两个按钮：一个用于常规攻击（使用几种武器），另一个用于执行1942年这样的循环的特殊行动，或者是破坏飞机的三种特殊攻击之一。与1942年不同的是，玩家只有一条生命，有一个可再填充的能量计。摧毁红色敌机的完整编队将导致加电，如健康提升或临时特殊武器，以取代默认的双枪。"
1943bj,Chinese Name,1943 - 中途岛海战 (盗版),"这场比赛以二战的太平洋剧院为前提，位于中途岛环环路海岸外。目标是攻击轰炸了玩家美国航空母舰的日本航空舰队，追捕所有日本空海军，飞越16级游戏，前往日本战列舰大和号，摧毁她。11级包括空对海战斗（一艘巨大的战舰或一艘航空母舰作为末级老板）,5级包括与日本轰炸机中队和一架需要摧毁的母轰炸机的全空中战斗。
就像1942年一样，玩家驾驶P-38。使用两个按钮：一个用于常规攻击（使用几种武器），另一个用于执行1942年这样的循环的特殊行动，或者是破坏飞机的三种特殊攻击之一。与1942年不同的是，玩家只有一条生命，有一个可再填充的能量计。摧毁红色敌机的完整编队将导致加电，如健康提升或临时特殊武器，以取代默认的双枪。"
1943j,Chinese Name,"1943 - 中途岛海战 (日版, 修正版 B)","这场比赛以二战的太平洋剧院为前提，位于中途岛环环路海岸外。目标是攻击轰炸了玩家美国航空母舰的日本航空舰队，追捕所有日本空海军，飞越16级游戏，前往日本战列舰大和号，摧毁她。11级包括空对海战斗（一艘巨大的战舰或一艘航空母舰作为末级老板）,5级包括与日本轰炸机中队和一架需要摧毁的母轰炸机的全空中战斗。
就像1942年一样，玩家驾驶P-38。使用两个按钮：一个用于常规攻击（使用几种武器），另一个用于执行1942年这样的循环的特殊行动，或者是破坏飞机的三种特殊攻击之一。与1942年不同的是，玩家只有一条生命，有一个可再填充的能量计。摧毁红色敌机的完整编队将导致加电，如健康提升或临时特殊武器，以取代默认的双枪。"
1943ja,Chinese Name,1943 - 中途岛海战 (日版),"这场比赛以二战的太平洋剧院为前提，位于中途岛环环路海岸外。目标是攻击轰炸了玩家美国航空母舰的日本航空舰队，追捕所有日本空海军，飞越16级游戏，前往日本战列舰大和号，摧毁她。11级包括空对海战斗（一艘巨大的战舰或一艘航空母舰作为末级老板）,5级包括与日本轰炸机中队和一架需要摧毁的母轰炸机的全空中战斗。
就像1942年一样，玩家驾驶P-38。使用两个按钮：一个用于常规攻击（使用几种武器），另一个用于执行1942年这样的循环的特殊行动，或者是破坏飞机的三种特殊攻击之一。与1942年不同的是，玩家只有一条生命，有一个可再填充的能量计。摧毁红色敌机的完整编队将导致加电，如健康提升或临时特殊武器，以取代默认的双枪。"
1943jah,Chinese Name,"1943 - 中途岛海战 (日版, no 保护版 修改版)","这场比赛以二战的太平洋剧院为前提，位于中途岛环环路海岸外。目标是攻击轰炸了玩家美国航空母舰的日本航空舰队，追捕所有日本空海军，飞越16级游戏，前往日本战列舰大和号，摧毁她。11级包括空对海战斗（一艘巨大的战舰或一艘航空母舰作为末级老板）,5级包括与日本轰炸机中队和一架需要摧毁的母轰炸机的全空中战斗。
就像1942年一样，玩家驾驶P-38。使用两个按钮：一个用于常规攻击（使用几种武器），另一个用于执行1942年这样的循环的特殊行动，或者是破坏飞机的三种特殊攻击之一。与1942年不同的是，玩家只有一条生命，有一个可再填充的能量计。摧毁红色敌机的完整编队将导致加电，如健康提升或临时特殊武器，以取代默认的双枪。"
1943jaha,Long Name,"1943 - 中途岛海战 (Japan, no protection hack, alt)","这场比赛以二战的太平洋剧院为前提，位于中途岛环环路海岸外。目标是攻击轰炸了玩家美国航空母舰的日本航空舰队，追捕所有日本空海军，飞越16级游戏，前往日本战列舰大和号，摧毁她。11级包括空对海战斗（一艘巨大的战舰或一艘航空母舰作为末级老板）,5级包括与日本轰炸机中队和一架需要摧毁的母轰炸机的全空中战斗。
就像1942年一样，玩家驾驶P-38。使用两个按钮：一个用于常规攻击（使用几种武器），另一个用于执行1942年这样的循环的特殊行动，或者是破坏飞机的三种特殊攻击之一。与1942年不同的是，玩家只有一条生命，有一个可再填充的能量计。摧毁红色敌机的完整编队将导致加电，如健康提升或临时特殊武器，以取代默认的双枪。"
1943kai,Chinese Name,1943 改 - 中途岛海战 (日版),1943年的更新，武器调整，级别减少，配乐新。
1943mii,Chinese Name,1943 - 中途岛海战 Mark II (美版),"1943年：中途岛马克二世战役是1943年凯的非官方美国版本。
这个游戏似乎是一个黑客游戏。
飞机精灵是1943年的，但背景是1943年的。"
1943u,Chinese Name,"1943 - 中途岛海战 (美版, 修正版 C)","这场比赛以二战的太平洋剧院为前提，位于中途岛环环路海岸外。目标是攻击轰炸了玩家美国航空母舰的日本航空舰队，追捕所有日本空海军，飞越16级游戏，前往日本战列舰大和号，摧毁她。11级包括空对海战斗（一艘巨大的战舰或一艘航空母舰作为末级老板）,5级包括与日本轰炸机中队和一架需要摧毁的母轰炸机的全空中战斗。
就像1942年一样，玩家驾驶P-38。使用两个按钮：一个用于常规攻击（使用几种武器），另一个用于执行1942年这样的循环的特殊行动，或者是破坏飞机的三种特殊攻击之一。与1942年不同的是，玩家只有一条生命，有一个可再填充的能量计。摧毁红色敌机的完整编队将导致加电，如健康提升或临时特殊武器，以取代默认的双枪。"
1943ua,Chinese Name,1943 - 中途岛海战 (美版),"这场比赛以二战的太平洋剧院为前提，位于中途岛环环路海岸外。目标是攻击轰炸了玩家美国航空母舰的日本航空舰队，追捕所有日本空海军，飞越16级游戏，前往日本战列舰大和号，摧毁她。11级包括空对海战斗（一艘巨大的战舰或一艘航空母舰作为末级老板）,5级包括与日本轰炸机中队和一架需要摧毁的母轰炸机的全空中战斗。
就像1942年一样，玩家驾驶P-38。使用两个按钮：一个用于常规攻击（使用几种武器），另一个用于执行1942年这样的循环的特殊行动，或者是破坏飞机的三种特殊攻击之一。与1942年不同的是，玩家只有一条生命，有一个可再填充的能量计。摧毁红色敌机的完整编队将导致加电，如健康提升或临时特殊武器，以取代默认的双枪。"
1944,Chinese Name,1944 - 征服世界 (欧版 000620),这款游戏发生在1944年第二次世界大战期间的激烈战斗中，一名超级王牌飞行员试图击败整个军队。游戏的运作和发挥就像大多数标准射击手。每一个级别的目标都是射击敌机、坦克、火车、炮塔、战舰，并在每一个级别后击败老板。与它的前身19XX：与命运的战争不同，这款游戏更像系列中的早期游戏。
1944ad,Long Name,"1944 - 征服世界 (000620 USA Phoenix Edition, alt)",这款游戏发生在1944年第二次世界大战期间的激烈战斗中，一名超级王牌飞行员试图击败整个军队。游戏的运作和发挥就像大多数标准射击手。每一个级别的目标都是射击敌机、坦克、火车、炮塔、战舰，并在每一个级别后击败老板。与它的前身19XX：与命运的战争不同，这款游戏更像系列中的早期游戏。
1944d,Chinese Name,1944 - 征服世界 (美版 000620 凤凰版) (盗版),这款游戏发生在1944年第二次世界大战期间的激烈战斗中，一名超级王牌飞行员试图击败整个军队。游戏的运作和发挥就像大多数标准射击手。每一个级别的目标都是射击敌机、坦克、火车、炮塔、战舰，并在每一个级别后击败老板。与它的前身19XX：与命运的战争不同，这款游戏更像系列中的早期游戏。
1944j,Chinese Name,1944 - 征服世界 (日版 000620),这款游戏发生在1944年第二次世界大战期间的激烈战斗中，一名超级王牌飞行员试图击败整个军队。游戏的运作和发挥就像大多数标准射击手。每一个级别的目标都是射击敌机、坦克、火车、炮塔、战舰，并在每一个级别后击败老板。与它的前身19XX：与命运的战争不同，这款游戏更像系列中的早期游戏。
1944u,Chinese Name,1944 - 征服世界 (美版 000620),这款游戏发生在1944年第二次世界大战期间的激烈战斗中，一名超级王牌飞行员试图击败整个军队。游戏的运作和发挥就像大多数标准射击手。每一个级别的目标都是射击敌机、坦克、火车、炮塔、战舰，并在每一个级别后击败老板。与它的前身19XX：与命运的战争不同，这款游戏更像系列中的早期游戏。
1945kiii,Chinese Name,"1945 改 III (新版, OPCX2 PCB)","1945kIII是一个滚动射击街机视频游戏。它是由韩国开发商东方软件于2000年开发和出版的。

在这个游戏中，玩家控制着一个战斗机，在舞台向前移动的时候，必须射击尽可能多的敌人战斗机。有许多奖金和新武器可用。这款游戏让人想起了20世纪80年代的几个滚动射击街机视频游戏，因此被认为是一款复古游戏。"
1945kiiin,Chinese Name,"1945 改 III (新版, OPCX1 PCB)","1945kIII是一个滚动射击街机视频游戏。它是由韩国开发商东方软件于2000年开发和出版的。

在这个游戏中，玩家控制着一个战斗机，在舞台向前移动的时候，必须射击尽可能多的敌人战斗机。有许多奖金和新武器可用。这款游戏让人想起了20世纪80年代的几个滚动射击街机视频游戏，因此被认为是一款复古游戏。"
1945kiiio,Chinese Name,"1945 改 III (旧版, OPCX1 PCB)","1945kIII是一个滚动射击街机视频游戏。它是由韩国开发商东方软件于2000年开发和出版的。

在这个游戏中，玩家控制着一个战斗机，在舞台向前移动的时候，必须射击尽可能多的敌人战斗机。有许多奖金和新武器可用。这款游戏让人想起了20世纪80年代的几个滚动射击街机视频游戏，因此被认为是一款复古游戏。"
19xx,Chinese Name,19XX - 命运否决战 (欧版 960104),19XX：《与命运的战争》是Capcom于1995年制作的垂直滚动射击街机游戏（1996年版权）。这款游戏是Capcom制作的二战垂直射击系列中的第4款。这个故事发生在一场虚构的战争之前（因此，19XX年），当时一个孤独的飞行员试图击败整个军队/邪恶组织，从另一场世界大战开始，这场世界大战很快升级为核启示录。
19xxa,Chinese Name,19XX - 命运否决战 (亚版 960104),19XX：《与命运的战争》是Capcom于1995年制作的垂直滚动射击街机游戏（1996年版权）。这款游戏是Capcom制作的二战垂直射击系列中的第4款。这个故事发生在一场虚构的战争之前（因此，19XX年），当时一个孤独的飞行员试图击败整个军队/邪恶组织，从另一场世界大战开始，这场世界大战很快升级为核启示录。
19xxar1,Chinese Name,19XX - 命运否决战 (亚版 951207),19XX：《与命运的战争》是Capcom于1995年制作的垂直滚动射击街机游戏（1996年版权）。这款游戏是Capcom制作的二战垂直射击系列中的第4款。这个故事发生在一场虚构的战争之前（因此，19XX年），当时一个孤独的飞行员试图击败整个军队/邪恶组织，从另一场世界大战开始，这场世界大战很快升级为核启示录。
19xxb,Chinese Name,19XX - 命运否决战 (巴西版 951218),19XX：《与命运的战争》是Capcom于1995年制作的垂直滚动射击街机游戏（1996年版权）。这款游戏是Capcom制作的二战垂直射击系列中的第4款。这个故事发生在一场虚构的战争之前（因此，19XX年），当时一个孤独的飞行员试图击败整个军队/邪恶组织，从另一场世界大战开始，这场世界大战很快升级为核启示录。
19xxd,Chinese Name,19XX - 命运否决战 (美版 951207 凤凰版) (盗版),19XX：《与命运的战争》是Capcom于1995年制作的垂直滚动射击街机游戏（1996年版权）。这款游戏是Capcom制作的二战垂直射击系列中的第4款。这个故事发生在一场虚构的战争之前（因此，19XX年），当时一个孤独的飞行员试图击败整个军队/邪恶组织，从另一场世界大战开始，这场世界大战很快升级为核启示录。
19xxh,Chinese Name,19XX - 命运否决战 (西班牙版 951218),19XX：《与命运的战争》是Capcom于1995年制作的垂直滚动射击街机游戏（1996年版权）。这款游戏是Capcom制作的二战垂直射击系列中的第4款。这个故事发生在一场虚构的战争之前（因此，19XX年），当时一个孤独的飞行员试图击败整个军队/邪恶组织，从另一场世界大战开始，这场世界大战很快升级为核启示录。
19xxj,Chinese Name,"19XX - 命运否决战 (日版 960104, yellow case)",19XX：《与命运的战争》是Capcom于1995年制作的垂直滚动射击街机游戏（1996年版权）。这款游戏是Capcom制作的二战垂直射击系列中的第4款。这个故事发生在一场虚构的战争之前（因此，19XX年），当时一个孤独的飞行员试图击败整个军队/邪恶组织，从另一场世界大战开始，这场世界大战很快升级为核启示录。
19xxjr1,Chinese Name,19XX - 命运否决战 (日版 951225),19XX：《与命运的战争》是Capcom于1995年制作的垂直滚动射击街机游戏（1996年版权）。这款游戏是Capcom制作的二战垂直射击系列中的第4款。这个故事发生在一场虚构的战争之前（因此，19XX年），当时一个孤独的飞行员试图击败整个军队/邪恶组织，从另一场世界大战开始，这场世界大战很快升级为核启示录。
19xxjr2,Chinese Name,19XX - 命运否决战 (日版 951207),19XX：《与命运的战争》是Capcom于1995年制作的垂直滚动射击街机游戏（1996年版权）。这款游戏是Capcom制作的二战垂直射击系列中的第4款。这个故事发生在一场虚构的战争之前（因此，19XX年），当时一个孤独的飞行员试图击败整个军队/邪恶组织，从另一场世界大战开始，这场世界大战很快升级为核启示录。
19xxu,Chinese Name,19XX - 命运否决战 (美版 951207),19XX：《与命运的战争》是Capcom于1995年制作的垂直滚动射击街机游戏（1996年版权）。这款游戏是Capcom制作的二战垂直射击系列中的第4款。这个故事发生在一场虚构的战争之前（因此，19XX年），当时一个孤独的飞行员试图击败整个军队/邪恶组织，从另一场世界大战开始，这场世界大战很快升级为核启示录。
2020bb,Chinese Name,2020 年超级棒球 (第 1 套),"在2020年，棒球终于进化了。2020年不再有传统的职业棒球。由超级棒球协会设计的棒球一直非常受欢迎，是最好的运动。

然而，事实是，该协会已经用了巨额资金来推广超级棒球作为表演业务。他们利用控制计算机操纵每个玩家的能力，秘密决定每场比赛的胜负。知道这一点的球员们拆除了电脑的连接部分，玩他们自己的棒球游戏。最后，一场公平的比赛将在赛博蛋体育场举行。

2020年超级棒球是一个快节奏的游戏，有新的规则，你可以从12名男性、女性或机器人球员中选择1名。在比赛中，你可以用从惊人的接球中获得的奖品让你的球队变得更强大。"
2020bba,Chinese Name,2020 年超级棒球 (第 2 套),"在2020年，棒球终于进化了。2020年不再有传统的职业棒球。由超级棒球协会设计的棒球一直非常受欢迎，是最好的运动。

然而，事实是，该协会已经用了巨额资金来推广超级棒球作为表演业务。他们利用控制计算机操纵每个玩家的能力，秘密决定每场比赛的胜负。知道这一点的球员们拆除了电脑的连接部分，玩他们自己的棒球游戏。最后，一场公平的比赛将在赛博蛋体育场举行。

2020年超级棒球是一个快节奏的游戏，有新的规则，你可以从12名男性、女性或机器人球员中选择1名。在比赛中，你可以用从惊人的接球中获得的奖品让你的球队变得更强大。"
2020bbh,Chinese Name,2020 年超级棒球 (第 3 套),"在2020年，棒球终于进化了。2020年不再有传统的职业棒球。由超级棒球协会设计的棒球一直非常受欢迎，是最好的运动。

然而，事实是，该协会已经用了巨额资金来推广超级棒球作为表演业务。他们利用控制计算机操纵每个玩家的能力，秘密决定每场比赛的胜负。知道这一点的球员们拆除了电脑的连接部分，玩他们自己的棒球游戏。最后，一场公平的比赛将在赛博蛋体育场举行。

2020年超级棒球是一个快节奏的游戏，有新的规则，你可以从12名男性、女性或机器人球员中选择1名。在比赛中，你可以用从惊人的接球中获得的奖品让你的球队变得更强大。"
20pacgal,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.08),"经典的重尼翁!81级

两个最伟大的打击在一个伟大的价格！"
20pacgalr0,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.00),"经典的重尼翁!81级

两个最伟大的打击在一个伟大的价格！"
20pacgalr1,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.01),"经典的重尼翁!81级

两个最伟大的打击在一个伟大的价格！"
20pacgalr2,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.02),"经典的重尼翁!81级

两个最伟大的打击在一个伟大的价格！"
20pacgalr3,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.03),"经典的重尼翁!81级

两个最伟大的打击在一个伟大的价格！"
20pacgalr4,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.04),"经典的重尼翁!81级

两个最伟大的打击在一个伟大的价格！"
25pacman,Chinese Name,吃豆人 - 25周年纪念版 (修正版 3.00),"限量版吃豆人25周年型号。
与视频游戏历史上“最伟大的点击”-吃豆人、吃豆人女士和加拉加一起享受数小时的游戏。
漫长-没有其他经典的标题已经赢得了如此好的超过20年！
限量版橱柜
操作员可选择原创或快速吃豆人和吃豆人女士游戏。
操作员可选择原创或快速火加拉加游戏玩法"
25pacmano,Chinese Name,吃豆人 - 25周年纪念版 (修正版 2.00),"限量版吃豆人25周年型号。
与视频游戏历史上“最伟大的点击”-吃豆人、吃豆人女士和加拉加一起享受数小时的游戏。
漫长-没有其他经典的标题已经赢得了如此好的超过20年！
限量版橱柜
操作员可选择原创或快速吃豆人和吃豆人女士游戏。
操作员可选择原创或快速火加拉加游戏玩法"
